Return,StdDev,AMD,AVGO,MU,NVDA,TSM,VOO
0.1478,0.1398,0.0,0.0,0.0,0.0,0.0,1.0
0.1518,0.14,0.0,0.0152,0.0,0.0,0.0,0.9848
0.1558,0.1404,0.0,0.0305,0.0,0.0,0.0,0.9695
0.1598,0.1409,0.0,0.0452,0.0,0.0,0.0009,0.9539
0.1638,0.1415,0.0,0.0565,0.0,0.0,0.008,0.9355
0.1678,0.1422,0.0,0.0678,0.0,0.0,0.0151,0.9171
0.1718,0.143,0.0,0.0791,0.0,0.0,0.0222,0.8987
0.1758,0.1439,0.0,0.0904,0.0,0.0,0.0293,0.8803
0.1798,0.1449,0.0,0.1017,0.0,0.0,0.0364,0.8619
0.1838,0.146,0.0,0.1129,0.0,0.0,0.0435,0.8435
0.1879,0.1473,0.0,0.1242,0.0,0.0,0.0506,0.8251
0.1919,0.1485,0.0,0.1322,0.0,0.0034,0.0545,0.8099
0.1959,0.1499,0.0,0.1385,0.0,0.0085,0.0567,0.7963
0.1999,0.1513,0.0,0.1448,0.0,0.0136,0.059,0.7826
0.2039,0.1527,0.0,0.1512,0.0,0.0186,0.0612,0.769
0.2079,0.1542,0.0,0.1575,0.0,0.0237,0.0635,0.7553
0.2119,0.1557,0.0,0.1639,0.0,0.0288,0.0657,0.7416
0.2159,0.1573,0.0,0.1702,0.0,0.0338,0.068,0.728
0.2199,0.1589,0.0,0.1765,0.0,0.0389,0.0702,0.7143
0.2239,0.1606,0.0,0.1829,0.0,0.044,0.0725,0.7006
0.2279,0.1623,0.0,0.1892,0.0,0.049,0.0748,0.687
0.2319,0.1641,0.0,0.1956,0.0,0.0541,0.077,0.6733
0.2359,0.1658,0.0,0.2019,0.0,0.0592,0.0793,0.6597
0.2399,0.1677,0.0,0.2082,0.0,0.0642,0.0815,0.646
0.2439,0.1695,0.0,0.2146,0.0,0.0693,0.0838,0.6323
0.2479,0.1714,0.0,0.2209,0.0,0.0744,0.086,0.6187
0.2519,0.1734,0.0,0.2272,0.0,0.0794,0.0883,0.605
0.2559,0.1753,0.0,0.2336,0.0,0.0845,0.0905,0.5913
0.26,0.1773,0.0,0.2399,0.0,0.0896,0.0928,0.5777
0.264,0.1794,0.0,0.2463,0.0,0.0947,0.0951,0.564
0.268,0.1814,0.0,0.2526,0.0,0.0997,0.0973,0.5504
0.272,0.1835,0.0,0.2589,0.0,0.1048,0.0996,0.5367
0.276,0.1856,0.0,0.2653,0.0,0.1099,0.1018,0.523
0.28,0.1878,0.0,0.2716,0.0,0.1149,0.1041,0.5094
0.284,0.1899,0.0,0.278,0.0,0.12,0.1063,0.4957
0.288,0.1921,0.0,0.2843,0.0,0.1251,0.1086,0.482
