MthCalDt,AMD,AVGO,MU,NVDA,TSM,VOO
2010-09-30,0.26738,0.117122,0.116358,0.252761,0.078723,0.035486
2010-10-29,0.031646,0.096402,0.144938,0.028976,0.075937,0.037754
2010-11-30,-0.006135,0.057942,-0.119443,0.132149,-0.014665,-0.001108
2010-12-31,0.122085,0.09105,0.103315,0.131604,0.166512,0.069206
2011-01-31,-0.042787,0.010471,0.314214,0.553247,0.042265,0.022234
2011-02-28,0.176245,0.183908,0.055977,-0.052676,-0.059679,0.034664
2011-03-31,-0.066232,-0.082549,0.030548,-0.185349,-0.00895,1e-05
2011-04-29,0.05814,0.075884,-0.013078,0.083424,0.108374,0.029363
2011-05-31,-0.046154,0.009863,-0.09894,0.002,0.011852,-0.011699
2011-06-30,-0.1947,0.127609,-0.266667,-0.20484,-0.038043,-0.016759
2011-07-29,0.050072,-0.115,-0.014706,-0.132099,-0.019826,-0.02055
2011-08-31,-0.069482,-0.015462,-0.1981,-0.037599,-0.031553,-0.055161
2011-09-30,-0.256223,-0.007306,-0.147208,-0.060105,-0.045113,-0.067881
2011-10-31,0.147638,0.030516,0.109127,0.183054,0.104112,0.107419
2011-11-30,-0.024014,-0.114007,0.071556,0.056081,0.023772,-0.002966
2011-12-30,-0.050967,-0.031386,0.050083,-0.113244,-0.000774,0.011215
2012-01-31,0.242593,0.176022,0.207472,0.065657,0.090627,0.044735
2012-02-29,0.09538,0.108132,0.125741,0.025728,0.03125,0.042819
2012-03-30,0.091156,0.039728,-0.053216,0.016172,0.052342,0.032965
2012-04-30,-0.082294,-0.115217,-0.185917,-0.15557,0.019634,-0.006369
2012-05-31,-0.173913,-0.040023,-0.113809,-0.043846,-0.118742,-0.060038
2012-06-29,-0.057566,0.089476,0.080479,0.111826,0.016752,0.041446
2012-07-31,-0.291449,0.027855,-0.015848,-0.02026,0.037536,0.012042
2012-08-31,-0.083744,-0.008943,0.0,0.036189,0.052255,0.025067
2012-09-28,-0.094086,-0.042284,-0.037037,-0.04918,0.07619,0.025524
2012-10-31,-0.391691,-0.052632,-0.092809,-0.102324,0.005057,-0.019569
2012-11-30,0.073171,0.06267,0.099539,0.006107,0.086164,0.005725
2012-12-31,0.090909,-0.093719,0.062867,0.024227,-0.006369,0.010155
2013-01-31,0.083333,0.130145,0.192429,0.0,0.0338,0.051695
2013-02-28,-0.042308,-0.043332,0.107804,0.038887,0.028749,0.013273
2013-03-28,0.024096,0.054699,0.191045,0.013428,-0.058082,0.036089
2013-04-30,0.105882,-0.109749,-0.055639,0.073266,0.109948,0.020938
2013-05-31,0.41844,0.180538,0.239915,0.056117,-0.022013,0.023243
2013-06-28,0.02,-0.00367,0.226884,-0.029717,-0.018221,-0.015014
2013-07-31,-0.07598,-0.018727,-0.076064,0.028134,-0.047471,0.053041
2013-08-30,-0.132626,0.049891,0.024924,0.026948,-0.024735,-0.030817
2013-09-30,0.165138,0.125084,0.287325,0.054915,0.024155,0.033916
2013-10-31,-0.12336,0.05455,0.012079,-0.023843,0.085495,0.044675
2013-11-29,0.08982,-0.015408,0.193439,0.032713,-0.036936,0.02996
2013-12-31,0.063187,0.187743,0.030806,0.026923,-0.016356,0.026386
2014-01-31,-0.113695,0.033255,0.05931,-0.019975,-0.029817,-0.035294
2014-02-28,0.081633,0.129261,0.049913,0.176011,0.067967,0.045655
2014-03-31,0.080863,0.048339,-0.02191,-0.025571,0.107914,0.008824
2014-04-30,0.01995,-0.014128,0.103973,0.031267,0.003996,0.007237
2014-05-30,-0.022005,0.112913,0.094564,0.033489,0.022886,0.022945
2014-06-30,0.0475,0.023948,0.152501,-0.024211,0.04037,0.020892
2014-07-31,-0.066826,-0.037325,-0.072838,-0.056095,-0.044277,-0.013766
2014-08-29,0.066496,0.183194,0.067103,0.116306,0.047,0.039726
2014-09-30,-0.182254,0.063678,0.05092,-0.051414,-0.036294,-0.01377
2014-10-31,-0.178886,-0.008621,-0.034151,0.059079,0.091179,0.024032
2014-11-28,-0.003571,0.082899,0.086431,0.077742,0.065849,0.027578
2014-12-31,-0.043011,0.080789,-0.026147,-0.043872,-0.046442,-0.003183
2015-01-30,-0.037453,0.022766,-0.164096,-0.042145,0.014745,-0.028715
2015-02-27,0.210117,0.240474,0.04801,0.153036,0.080141,0.055795
2015-03-31,-0.138264,-0.002116,-0.115422,-0.051451,-0.042805,-0.015699
2015-04-30,-0.156716,-0.07954,0.03686,0.060693,0.040886,0.010042
2015-05-29,0.00885,0.266855,-0.00711,0.001692,-0.006547,0.012507
2015-06-30,0.052632,-0.099696,-0.325456,-0.091279,-0.034251,-0.019501
2015-07-31,-0.195833,-0.058602,-0.017516,-0.007956,-0.02642,0.021764
2015-08-31,-0.062176,0.006633,-0.113452,0.131577,-0.100859,-0.061363
2015-09-30,-0.049724,-0.004451,-0.087142,0.09653,0.043763,-0.024682
2015-10-30,0.232558,-0.015039,0.105474,0.150913,0.058313,0.084514
2015-11-30,0.113208,0.059449,-0.038043,0.122226,0.03643,0.004251
2015-12-31,0.216102,0.11609,-0.111111,0.039092,-0.000439,-0.017433
2016-01-29,-0.233449,-0.078815,-0.221045,-0.111347,-0.017582,-0.049109
2016-02-29,-0.027273,0.001945,-0.036265,0.074599,0.053691,-0.002082
2016-03-31,0.331776,0.157045,-0.015052,0.136161,0.112527,0.068725
2016-04-29,0.245614,-0.056634,0.026743,-0.002807,-0.099618,0.0035
2016-05-31,0.287324,0.059074,0.183256,0.318279,0.047902,0.017546
2016-06-30,0.124726,0.009915,0.081761,0.006207,0.100692,0.003209
2016-07-29,0.33463,0.042342,-0.001453,0.214635,0.059093,0.036837
2016-08-31,0.078717,0.089147,0.200146,0.076219,0.034557,0.001204
2016-09-30,-0.066216,-0.019219,0.078229,0.117052,0.06437,0.000354
2016-10-31,0.04631,-0.012984,-0.034871,0.038529,0.016672,-0.017917
2016-11-30,0.232365,0.001233,0.138112,0.297602,-0.045338,0.037257
2016-12-30,0.272727,0.042789,0.122376,0.157701,-0.03166,0.020728
2017-01-31,-0.085538,0.128585,0.099909,0.022859,0.07513,0.017827
2017-02-28,0.394407,0.057293,-0.027789,-0.069351,0.018117,0.038762
2017-03-31,0.006224,0.042831,0.232935,0.073413,0.043534,0.001309
2017-04-28,-0.085911,0.008449,-0.042561,-0.042504,0.007004,0.0104
2017-05-31,-0.158647,0.084552,0.112035,0.385413,0.069247,0.014044
2017-06-30,0.115282,-0.022679,-0.029574,0.001455,0.020412,0.006289
2017-07-31,0.090545,0.058399,-0.058272,0.12417,0.028604,0.020625
2017-08-31,-0.04482,0.021933,0.136913,0.043542,0.028087,0.002912
2017-09-29,-0.019231,-0.033878,0.230216,0.055064,0.015688,0.020419
2017-10-31,-0.138431,0.088109,0.126621,0.15685,0.127297,0.023271
2017-11-30,-0.008648,0.053162,-0.043331,-0.028818,-0.064493,0.030576
2017-12-29,-0.056015,-0.069582,-0.02996,-0.035922,0.001263,0.012832
2018-01-31,0.336576,-0.034527,0.06323,0.270284,0.142749,0.055852
2018-02-28,-0.118632,-0.00633,0.116423,-0.01485,-0.043258,-0.03726
2018-03-29,-0.170107,-0.037059,0.068224,-0.043017,0.009458,-0.024796
2018-04-30,0.082587,-0.026438,-0.118143,-0.028887,-0.121344,0.00347
2018-05-31,0.261949,0.098727,0.252501,0.122022,0.006502,0.024164
2018-06-29,0.09177,-0.030955,-0.089425,-0.060629,-0.020486,0.007557
2018-07-31,0.222815,-0.086012,0.006674,0.033601,0.127188,0.03563
2018-08-31,0.373159,-0.012355,-0.005115,0.146905,0.057996,0.032198
2018-09-28,0.227255,0.13469,-0.138804,0.001211,0.012844,0.005774
2018-10-31,-0.410489,-0.094192,-0.16604,-0.249769,-0.137228,-0.068377
2018-11-30,0.169687,0.062285,0.022269,-0.224038,-0.013386,0.018851
2018-12-31,-0.133333,0.082427,-0.177127,-0.183137,-0.01809,-0.08837
2019-01-31,0.322319,0.054939,0.204538,0.076779,0.019236,0.079196
2019-02-28,-0.036051,0.026505,0.069597,0.074226,0.038012,0.032499
2019-03-29,0.084573,0.102005,0.011008,0.164009,0.048912,0.019192
2019-04-30,0.08268,0.058827,0.017663,0.00802,0.069824,0.040341
2019-05-31,-0.007962,-0.209673,-0.224679,-0.250741,-0.124829,-0.063479
2019-06-28,0.10799,0.155,0.183379,0.212387,0.053971,0.069892
2019-07-31,0.002634,0.007399,0.163255,0.02734,0.088333,0.014602
2019-08-30,0.032841,-0.025346,0.008465,-0.006186,0.0,-0.016405
2019-09-30,-0.078219,-0.014139,-0.053457,0.039162,0.098134,0.019734
2019-10-31,0.170404,0.060782,0.109685,0.154823,0.1108,0.021827
2019-11-29,0.153846,0.079768,-0.000841,0.078992,0.028278,0.036259
2019-12-31,0.171392,0.009581,0.131972,0.085633,0.102109,0.02973
2020-01-31,0.024858,-0.034365,-0.01283,0.004802,-0.071601,-0.000372
2020-02-28,-0.03234,-0.106633,-0.009983,0.143007,-0.001854,-0.080997
2020-03-31,0.0,-0.115586,-0.199772,-0.023957,-0.103942,-0.124614
2020-04-30,0.151935,0.145593,0.138612,0.108801,0.111739,0.127861
2020-05-29,0.026914,0.072344,0.000418,0.214657,-0.052701,0.047361
2020-06-30,-0.022119,0.095196,0.07535,0.070597,0.136402,0.018346
2020-07-31,0.471773,0.003612,-0.028436,0.117607,0.389642,0.058815
2020-08-31,0.17293,0.095975,-0.0908,0.259992,0.004563,0.06971
2020-09-30,-0.097225,0.059155,0.031861,0.011957,0.028293,-0.037541
2020-10-30,-0.081717,-0.040322,0.071976,-0.073648,0.034538,-0.025451
2020-11-30,0.230708,0.148586,0.273143,0.069212,0.15679,0.109466
2020-12-31,-0.010253,0.099351,0.173038,-0.025564,0.128676,0.037452
2021-01-29,-0.066187,0.028891,0.041101,-0.004998,0.114453,-0.010213
2021-02-26,-0.013195,0.042997,0.169414,0.055794,0.036373,0.027662
2021-03-31,-0.071116,-0.005729,-0.036272,-0.026394,-0.057277,0.045692
2021-04-30,0.039745,-0.016089,-0.02426,0.124455,-0.01302,0.052896
2021-05-28,-0.018868,0.035357,-0.022424,0.082281,0.005311,0.006674
2021-06-30,0.172952,0.017371,0.009983,0.231624,0.027737,0.022594
2021-07-30,0.130523,0.017952,-0.087079,-0.025172,-0.029294,0.024471
2021-08-31,0.042659,0.02433,-0.050013,0.148213,0.020319,0.029518
2021-09-30,-0.070629,-0.017547,-0.03555,-0.074559,-0.057986,-0.046641
2021-10-29,0.168416,0.096385,-0.026486,0.234167,0.018361,0.070385
2021-11-30,0.317225,0.041398,0.21563,0.278054,0.030343,-0.007343
2021-12-31,-0.091368,0.20942,0.110119,-0.099806,0.031343,0.045535
2022-01-31,-0.206046,-0.11952,-0.116801,-0.167454,0.019284,-0.052409
2022-02-28,0.079562,0.002663,0.080102,-0.004125,-0.127375,-0.029805
2022-03-31,-0.113507,0.079214,-0.123453,0.119151,-0.021184,0.03784
2022-04-29,-0.217853,-0.119569,-0.123321,-0.320274,-0.108671,-0.087844
2022-05-31,0.191066,0.046429,0.082857,0.00674,0.025503,0.002588
2022-06-30,-0.249264,-0.155769,-0.251354,-0.187969,-0.13744,-0.082646
2022-07-29,0.235386,0.102242,0.121206,0.198166,0.082324,0.091991
2022-08-31,-0.10162,-0.06792,-0.086162,-0.16897,-0.057979,-0.041289
2022-09-30,-0.253446,-0.102832,-0.113745,-0.195539,-0.172722,-0.092065
2022-10-31,-0.052083,0.058805,0.082187,0.111871,-0.102246,0.081176
2022-11-30,0.292541,0.172105,0.065619,0.254131,0.348172,0.05505
2022-12-30,-0.165658,0.023192,-0.131049,-0.136442,-0.097094,-0.057332
2023-01-31,0.160259,0.046286,0.206483,0.336869,0.244865,0.062902
2023-02-28,0.045642,0.015863,-0.041128,0.188309,-0.061037,-0.024984
